Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
"tao cũng vậy , mấy cái thiệp chúc_noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên xi",Other,Sadness
"hai thằng đó sẽ .. nhau , cô về nhà nằm_mơ típ đi cô bé",Disgust,Other
có thì tốt nhất đừng có giận vì ngoài kia bất_cứ thằng nào cũng sẵn_sàng_dỗ dành bạn gái của bạn 😋,Fear,Other
"toan cao lại nữa , tao dg suy_nghĩ có nên đi bằng grap về không",Other,Fear
mày cứ đái ra võng là lần sau vợ mày sẽ rút kinh_nghiệm,Disgust,Other
"mấy con đĩ xạo lồn tao thấy mà tao tức_á , chia bè phái ra làm rầm_rầm_rộ rộ",Anger,Disgust
nghe tiếng ăn_tợp tợp ám_ảnh quá,Disgust,Fear
tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓,Fear,Enjoyment
"việc của ông vũ_giờ là mua nhiều thật nhiều cigar và lên chùa xây cái am_trung_nguyên thiền_định tiếp đi qua ơi , qua quậy quá rồi để cho vợ và 4 con tiếp_quản được rồi qua ơi .",Disgust,Other
"thôi xong , biết thế_tém tém lại .",Fear,Other
"hành nó đưa đèn ông sao lên nữa chứ , ác_vãi , ta nhớ lại còn cay ?",Anger,Disgust
"thì bác cứ tranh_luận đi , bác nói đúng thì mình cũng chả nói gì , còn mình thấy cái kiểu cậy nhà mặt_đường nhưng tư_tưởng nhắn_tin kia thì kiểu gì cũng có ngày sấp mặt .",Anger,Disgust
không biết có ai ở trong ngôi nhà không,Fear,Other
có hôm tao đang vương_nỏ tính bắn vào con họa_mi đang đậu trên cành thì ai_ngờ nó phản_đame đứt_thun dội ngược vào mặt từ đó tao không còn chơi nữa,Sadness,Fear
và đó đéo phải là tao =))),Sadness,Enjoyment
"giỏi quá ta , cố_gắng phát_huy nha",Surprise,Enjoyment
"cũng tùy , đôi_khi không cần vật_chất mà chỉ cần động_viên , san sẽ những khi con mình vấp_ngã hay khó_khăn trong cuộc_sống thì ...",Sadness,Other
crush đéo bị thịt nhé : d nó cũng ế_vãi vì tội chảnh chóa,Anger,Disgust
hôm_qua tao xem xong ngất_xỉu tới giờ mới tĩnh chúng_mày ạ 😌_😌 😌,Sadness,Enjoyment
per hèn gì thấy ngày nào anh cũng đi tập 😂_😂 😂,Other,Disgust
quả cr7 mà kill_đéo gì nhỉ,Disgust,Enjoyment
"ngày_xưa toàn ăn cơm với nước_mắt , ngày_trước giận_bố lắm , nhưng giờ mới cảm_ơn bố vì như_thế mới có mình ngày_nay",Enjoyment,Sadness
loài vật đang dần_dần có trí_khôn và hành_động như một con_người còn một_số người thì đang tiến hóa ngược : v,Disgust,Other
"kệ mẹ tao , tao thích nuôi chó thôi okeeee nó đéo bao_giờ kêu tao bướng",Anger,Enjoyment
thính hơn chó_động 1 tí là kêu inh_ỏi điếc cả tai . đuổi thì đuổi dai_😒,Anger,Disgust
xin chúa thương_xót chúng con,Other,Sadness
sau nay em cung_uoc duoc nhu vay ❤,Enjoyment,Sadness
đọc thôi cũng mệt,Disgust,Sadness
nó chỉ muốn chén mày thôi . thật đấy,Other,Anger
"đọc bình_luận không thấy ai khen cute dễ_thương đáng_yêu này nọ nữa nhỉ :))))) một ngày đẹp trời bạn ra ngõ đứng_hít không_khí , con mèo sẽ kệ mẹ bạn , con chó vẫn sẽ đi đái_bậy , nhưng con một lằn này thì đéo , nó phi con mẹ nó ra dí chạy như một con điên",Anger,Enjoyment
một đứa sợ sấm chớp không thích hình_ảnh này huhu,Fear,Sadness
chơi vậy ai chơi,Disgust,Other
ngày bé nấu hoài không chín . tức rủ mấy đứa ra đốt cả đống rơm nhà hàng_xóm,Enjoyment,Sadness
mơ chứ còn gì nữa 🙃,Other,Disgust
cũng chỉ vì việt_nam nuôi một lũ kỹ_sư . tiến_sĩ phá_hoại mới làm thiệt_hại kinh_tế nhiều vô_kể chúng_nó sài toàn bằng tại trức thì biết con mẹ gì mà đưa cây cao_su ra bắc trồng khác gì đưa cây dừa ở trong nam ra bắc trồng . một lũ bò,Anger,Disgust
"người đàn_ông ốm_đau nói với vợ mình : ” ở lại với anh ” rồi cầm tay bà . đó là tình_yêu , vỏn_vẹn 20 năm ngắn_ngủi . tình_yêu bố dành cho mẹ",Enjoyment,Sadness
"per lại nữa , tao dg suy_nghĩ có nên đi bằng rap về không",Sadness,Fear
per hình_như bài mày ngh hôm_nay . như cứt mai đừng mở nữa,Disgust,Other
cũng đỡ_tắc hơn 1 tí,Enjoyment,Other
hãy tôn_trọng quyền được mưu_cầu hạnh_phúc của mỗi cá_nhân con_người trên thế_giới này đi . đừng kì_thị họ ! tội_lỗi lắm 🙂,Other,Sadness
con nhà người ta kbh làm bố_mẹ mình thất_vọng 😪,Other,Enjoyment
đau ruột với thằng số 9 🤣_🤣 🤣,Enjoyment,Sadness
"thằng tàu hỏa lái_dở , thấy xe đậu thì đánh lái né ra đường_ray thi đâu có va_chạm hư ô_tô",Disgust,Other
không biết người của họ hay sao mà bắt heo 2 ngày trúng 2 cái ipx,Other,Enjoyment
cũng thơm mà . kì_thị quá à .,Enjoyment,Disgust
đm tao biết trước cả sự_việc kiểu lìn gì cũng có nhện nhảy lên màn_hình . vì mấy năm trước cũng có 1 thể_loại giống như_vậy . đm hú nhồn,Fear,Anger
"con sâu làm rầu nồi_canh , tuyệt_đối không có chuyện ....",Disgust,Other
cần lắm những sẻ_chia . cần lắm những thấu_hiểu,Sadness,Other
"quay quay cái lồn , thấy bị bắt_nạt thì_ra nói một câu bảo_vệ người ta , có_khi tối về lại có người nằm ôm . cứ cầm điện_thoại pin với chả không pin",Anger,Sadness
bà mẹ tháng cô_hồn nghèo rớt mồng_tơi mà cứ chiếu_phim tiền đâu mà coi trời oi là troi,Anger,Sadness
tuy chưa viết hết nhưng tao người khác sẽ hiểu là viết cái gì,Enjoyment,Other
"hồi lúc tao ăn lạp_xưởng mắc xương , nói mà cũng đéo ai tin . tao hiểu cảm_giác của mày lắm ?",Enjoyment,Sadness
"xem phim mà cứ nhìn cặp chân của ổng , chân gì mà dài thường thượt . chồi ôi 1 m87",Enjoyment,Disgust
tính ra con_bé đó chuyên_nghiệp ấy chứ,Enjoyment,Other
cho con được thay ông bán vé đi 😔,Sadness,Enjoyment
hình_như câu này quen quen_ý le tuyet nguyen nhỉ,Other,Surprise
dự là sắp có án_mạng xảy ra 😂,Other,Fear
bắt được rồi cho bọn này đi chết đi để chúng_nó sống rồi làm hại người khác,Disgust,Anger
sao nó tìm được nhỉ 🤔,Surprise,Other
trong 1 năm đó bố_mẹ ông cho ông 10 tỷ_đố là tiêu_vặt và 1 con lám_bồ để đi giao hàng,Other,Disgust
khi đang xây cầu mà bị rút bớt kinh_phí !,Other,Sadness
em nó phượt theo gái cả đêm,Other,Enjoyment
ừ thì là chuyện cổ_tích . cháu đang đi đường_thẳng gặp mấy chú thì phải rẽ ngang . 😢 😢,Sadness,Enjoyment
ai cũng vậy thôi con rắn mình đánh nó thì nó chạy chứ làm quá thì nó cũng quay đầu lại cắn . đó là quy_luật cuộc_sống . đừng thấy tao im mà làm tới,Disgust,Other
tao bướng nhưng mặt_đéo đến_nỗi như con_bé kia 🤣,Enjoyment,Disgust
có những người chỉ cảm_thấy mình tồn_tại khi được chửi_bới .,Other,Sadness
làm_sao tôi có_thể yêu được loài_người đây ? ? ?,Other,Sadness
":)))) cuộc_sống mà . ngày_càng thấy bản_thân quá nhạt và "" duyên "" : v",Sadness,Disgust
per mày mà bị như thế_này chắc mày phải nhảy ra ngoài vũ_trụ luôn nhỉ,Other,Fear
không hiểu sao nhìu người lại thả haha nhỉ ? ?,Surprise,Enjoyment
đánh cả bố lẫn mẹ nó cho nó chừa,Other,Anger
"vailon :)) học_sinh cơ , dume nó",Disgust,Anger
"khuôn_mặt ngây_thơ vô_số tội , trái_tim nhỏ_bé của tao sao chịu được ❤_❤ ❤",Enjoyment,Sadness
per biết không :))),Surprise,Enjoyment
nó hiền_thôi chứ nó hung lại đấm cho không trượt phát lào . 🤣,Other,Enjoyment
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng_cáo ấy ( ý_kiến cá_nhân ) 😔,Disgust,Sadness
yêu như trẻ_con tập yêu ây .. có cái chúc sinh_nhật mà nháo_nhào lên cãi nhau,Disgust,Enjoyment
ý là giọng quê tao đó hã,Enjoyment,Other
có cái ảnh tỉ năm trước cứ đăng_đăng con cặc . đéo thấy nhàm à . nghĩ thôi thấy bất_hạnh vãi .,Anger,Disgust
nhìn thương quá ... lao_động nghiêm_túc,Enjoyment,Sadness
bình_luận gì ông này diễn_trò ngày nào đi qua khoảng hơn bốn giờ chiều là gặp,Disgust,Other
"kỳ nghỉ_hè muộn của anh mà , xõa hết đi anh .",Enjoyment,Other
chuẩn luôn : 3 độc vô_tình bắt_gặp thôi_cơ mà giờ tao bị ăn_bơ rồi 😭,Sadness,Enjoyment
"diễn còn cứng quá à , kiểu biết rồi mà_còn giả_bộ bất_ngờ :))",Enjoyment,Surprise
tối nay chồng tương_lai sẽ đưa con khác đi chơi 😆_😆 😆,Sadness,Enjoyment
mày xinh_thế ? tao ốm_tí đã xấu hoắc,Sadness,Disgust
per ý_nghĩa giống phim không ? ? ?,Surprise,Other
chuột nhìn thấy said : bố lại sợ mày quá cơ_=))),Other,Fear
khi nào vụ này kết_thúc thì mình uống cf trung_nguyên trở_lại . sợ làm_giàu cho cô per lắm .,Disgust,Fear
thế hóa ra nguy_cơ trầm_cảm của tao cao lắm,Sadness,Fear
cho nghỉ viêc mói đúng sao goi là kỷ_luật,Surprise,Other
dm con già mà hành_xử trâu chó . đời nó sẽ gặp báo ứng,Anger,Disgust
"dume về bố lại táng cho bờm đầu , có_thể là lần cuối được đi xem đá bóng của cháu nó :))",Disgust,Fear
gặp tao thì tao khinh,Disgust,Anger
ủa rồi ra nắm xe_tải kéo ra như kéo xe đồ_chơi dị_ba,Other,Disgust
chuột mà làm như người vậy .. ít hôm nó gặm cả rắn cả dây thì thấy mẹ ..,Fear,Disgust
mấy cái video của bọn này đóng hay vãi,Surprise,Enjoyment
hóa chó nhiều quá thì cũng có lúc phải hóa thành người chứ =)))),Other,Enjoyment
per chiều anh bắn chưởng để em quay nhé,Other,Enjoyment
đốt cháy túi_tiền thì ở nhà cho_rồi . xem chi không biết,Anger,Other
😑 con trai chỉ thích gái lùn thôi . tao biết mà . nhưng cô gái cao như tao đi cạnh sẽ giống 2 thằng đàn_ông lắm,Disgust,Other
"như mình mà trèo lên là bị phóng_điện luôn bạn nhỉ , mình cũng không hiểu được sao bọn nó không bị",Surprise,Other
lỗi tại thằng quay_phim . cắt không đúng lúc,Disgust,Other
bác_sĩ mất dạy,Anger,Disgust
quan_trọng nhất vẫn là tấm lòng 🙂,Other,Enjoyment
một con cá_chép đang bơi trong hồ mà đã tính_chuyện đánh_bại những con rồng_vẫy vùng 5 châu !,Disgust,Enjoyment
đúng là tốt quá lai_thành lạm_dụng 😶,Sadness,Disgust
"ngày_xưa thầy dạy toán tao còn đấm_thụi thụi thằng ngỗ ngược trong lớp đấy thôi , cả lớp cười ầm . giờ_mạng xã_hội phát_triển , quan_trọng hóa vấn_đề , cái nhỏ đưa lên mạng là thành cái to",Disgust,Enjoyment
per mốt đừg có thiết_kế hay xây mấy cái kiểu như dị nhé hem > <,Other,Disgust
vừa đi về ? ? mưa sấp mặt,Disgust,Sadness
nói tới thì lại dỗi bỏ được mấy đồng ra rồi bày ra như chuồng lợn í_thức đéo khác gì con lợn .,Anger,Disgust
mày ăn_cứt hay sao ngu thế hả,Anger,Disgust
"cái khó_ló_cái_khôn , yên_tâm",Other,Enjoyment
nếu địa_phương không xây cầu thì người_dân cũng có_thể tự làm cầu cây mà . phóng lỡ_hụt chân thì xác_định nát người .,Fear,Other
bố_mẹ là những người yêu ta vô_điều_kiện ...,Other,Enjoyment
tại_sao mày nằm viện mà vẫn xinh_thế ? ?,Surprise,Enjoyment
công_tình_yêu làm_ăn kiểu lồn gì vậy .,Anger,Disgust
cố_gắng lên cụ nhé ! ! ❤,Other,Enjoyment
rồi các em cũng ăn_cứt thôi :)),Disgust,Enjoyment
trong phim này thấy cái thằng anh_hùng đạp xa đạp phế_vkl,Disgust,Enjoyment
đẹp không,Other,Enjoyment
hậu duệ mặt_trời đấy chứ đùa đâu nhá_😗 😗,Other,Enjoyment
"cây hoa sữa thì nói cây hoa sữa đi , tình_yêu tình_báo gì ra ngửi mùi chắc mất mẹ tình_yêu luôn",Disgust,Anger
tao thề từ giờ đến cuối năm mà tao không lấy được vợ thì tao quyết_định sag năm lấy 😊,Enjoyment,Sadness
"ôi những con_người dễ bị ám_ảnh với quá_khứ , ôm nhau cái nào",Enjoyment,Sadness
per nhìn nó gớm những vẫn khoái coi . thú_vui biến_thái dễ sợ,Enjoyment,Disgust
còn đồng_nghiệp hãm_lờ thì ...,Disgust,Other
dm . nó xấu cả tính lẫn nết_bố đẻ . nó còn không chịu . được thằng nào bốc nó đi cái,Disgust,Anger
"xã_hội thật phức_tợp , huhu . không muốn sống chung loài_người nữa , tao về núi đây",Fear,Sadness
thế nên bán hàng có tâm là đừng bao_giờ nài_nỉ khách mua thêm vì biết_đâu bạn vô_tình làm cho nỗi đau của họ trở_nên tồi_tệ hơn .,Sadness,Other
ghét vãi nồi,Anger,Disgust
per trình mày vẫn còn thấp_chán =)),Other,Disgust
bao năm giải_phóng như thế_này phải không anh,Other,Enjoyment
đi viện thôi mà có cần phải đẹp vậy không,Surprise,Other
"giơ cao đánh_khẽ , cảnh_cáo cho có lệ",Anger,Disgust
dume đáng yêu_vãi để tao vào chăm_mày,Other,Enjoyment
tao đang chờ xem bà ấy được nghe nhạc_ý mà hết video 🤣,Enjoyment,Sadness
chuyện buồn quá chúng_mày à . tao không dám đọc sợ làm quyết_tâm có người_yêu của tao lung_lay 🙄,Fear,Sadness
uầy . ngọt thế ? ? ? ? ? ?,Enjoyment,Surprise
1 bạt tai 2 đạp chứ ở đó bướng,Anger,Disgust
thực_ra chỉ cần nhập đúng input là được thôi mà : d,Enjoyment,Other
cái cuối phê_vãi,Enjoyment,Disgust
chính những người như_thế họ rất cẩn_trọng khi bật xi_nhan đấy,Fear,Other
mệt_vãi .. mà cừời cũng vãi ? ? ? ? ? ?,Enjoyment,Disgust
per nên mày hãy yên_tâm về mấy con nhện nhé :))),Enjoyment,Other
đây là hình_ảnh của boss trước khi có vợ và sau khi có vợ là một tr một vực,Other,Sadness
chắc mình là thánh_nguy_hiểm,Enjoyment,Fear
thế con lồn chủ_nhiệm kia đéo có trách_nhiệm gì nữa à : / giáo_viên mà sao nghĩ ngắn_thế ?,Anger,Disgust
coi mà hồi_hộp vãi 😂 😂_😂 ... nghỉ tới khúc nó nhảy trượt rớt xún chắc_bó chửi banh nóc ... v,Enjoyment,Fear
câu_chuyện mọc sừng được bắt_nguồn từ đó 😀,Enjoyment,Other
rồi mấy đứa chân không được dài như tao phóng qua kiểu gì :),Sadness,Other
quả dạ_vâng kia ngọt vãi ngọt . đéo bù khách của tao toàn được,Disgust,Enjoyment
vài chục năm trôi qua mà vẫn chưa đủ tiền mua cái xe_máy à,Surprise,Sadness
chắc chưa :))) si_nghĩ kĩ_lại đi,Other,Enjoyment
thế đéo nào ma không bị phóng_điện nhỉ,Surprise,Other
để 1 ngày là khó_chịu rồi,Anger,Disgust
hẹn gặp lại ngày vào một ngày không xa_chúc ngài thượng_lộ bình_an,Other,Enjoyment
chắc là uncrush thôi . bố_mẹ thì còng lưng ra làm cho con đi học .,Sadness,Other
đi làm quán nước mà mỗi cái bịch nay long đựng ống hút nó cũng xé nhỏ ra rồi để bay tứ_tung đi quét đã muốn lòi lồn,Sadness,Disgust
"đã gọi_là "" mật "" mà nó lại công_khai cho mày xem àk",Disgust,Surprise
"moá ơi , lợn mặt trăng_😂 😂 😂",Surprise,Disgust
năm sau nữa quyết_định nằm cho đỡ đau lưng 😁 😁,Other,Enjoyment
cảm_thấy sợ mấy thứ suy_nghĩ cổ_hủ của người_lớn : (,Sadness,Fear
per nhớ lần mua mộc ra bờ sông ghê . đã thế còn làm_li đặc_biệt . dm,Other,Fear
"đặt mình vào vị_trí của nhau , biết lo_lắng suy_nghĩ san_sẻ cho nhau vậy là đủ rồi . có quá khó không ?",Sadness,Enjoyment
quá đáng !,Anger,Enjoyment
ơ ̉_viê ̣ tao nam sao được như vâ ̣_y,Other,Sadness
"ko phải con mình , mà xem còn thấy đau như_vậy huống_gì người trong cuộc . thật là phẫn_nộ mà . cơ_quan_chức_năng làm_việc quá chậm_trễ , đến giờ mà vẫn chưa tìm ra người chịu trách_nhiệm . 😠 😠_😠 😠_😠 😠",Anger,Sadness
"tháng 10 đến rồi , nghe bài này quá chuẩn",Other,Enjoyment
đéo mẹ . nhìn nổi da_gà ..,Disgust,Anger
t coi đi coi lại mấy lần để xác_định con nhện nó phóng qua tới cái điện_thoại hay_là nghệ_thuật ) ) ) ),Other,Enjoyment
ôi đất_nước tôi ... hở ra là bàn_thờ bát nhang 😳_😳 😳,Disgust,Sadness
đục_khoét tuổi_thơ vãi ; ) ) ),Other,Disgust
"nhìn cảnh 2 bố_con hôn từ_biệt , em bé cũng rướn_mặt theo hôn_bố mà chảy nước_mắt , em bé như_thế chắc không biết diễn , đúng là cảnh đẹp quá",Sadness,Enjoyment
per khi ế nhưng vẫn phải giương_mắt nhìn bọn nó ân_ái,Sadness,Enjoyment
"thế đường không cấm đỗ , bạn lấy quyền gì không cho người ta đỗ vậy",Anger,Disgust
thanh_niên phượt rách_dép =))),Other,Enjoyment
tuổi_thơ với nó đấy,Other,Enjoyment
"per :))) tuy anh hay bắt_nạt , giấu đồ và ăn_bòn đồ_ăn của em nhưng nếu thiếu anh thì công_việc sẽ trở_nên căng_thẳng phết đó 😭",Sadness,Enjoyment
ko nên vì tất_cả do người_lớn sắp_đặt cả không nên cho lớp trẻ mất newnf móng,Other,Disgust
"nhìn là biết cái quả này fa lâu lắm rồi này , cũng may chưa đóng 🕸 🕸_🕸 😂",Disgust,Enjoyment
nốt hôm_nay thui . thui không ngĩ đến và bắt_đầu từ_bỏ 1 thói_quen,Sadness,Other
riêng đéo gì tối nay mà khóc với lóc,Anger,Sadness
bác không ở lại làm tô phở đã 🙃_🙃 🙃,Other,Enjoyment
muối nhà mày mua chỗ khác rồi hay s thiếu mặn z :)),Disgust,Other
do cái áo . mặc giống nhau làm đíuu gì,Anger,Other
nên cho người xử sai ngồi tù như người ta xem sao ....,Anger,Other
"mẹ kể hồi_nhỏ nuôi con ngỗng thay chó canh nhà . ăn_trộm mà vào thì chạy đằng_trời với nó , cả bầy lao ra quạt với táp , khi gia_đình vác gậy chạy ra thì thằng ăn_trộm nó ôm cây trên tít cành cao , áo_quần tóc_tai lủng máu_me tè_le . gia_đình phải cứu ăn_trộm má mấy mẻ còn không tha , 2 3 con vẫn dí_nhảy hàng_rào dí theo ăn_trộm . phải nói dí bao_dai mà cục súc vê_lờ .",Enjoyment,Disgust
"per đó là lý_do tại_sao em luôn nói với anh , có gì cũng phải nói ra",Fear,Other
uổng phí công_sức bao người !,Anger,Sadness
khi đời quá mệt_mỏi . đi tìm 1 chút drama,Other,Sadness
tao cũng hay sử_dụng chiêu này và bọn đàn_ông vẫn cứ bị lừa ? ? ? ?,Enjoyment,Other
khi nào có người mang trầu_cau sang hỏi cưới thì tao kết_hôn . hỏi thừa_thế 😒,Disgust,Enjoyment
rất biết cách ngồi đấy nhỉ ? ? ? ?,Other,Surprise
quán tao vỡ sụp xuống hơn mưa,Other,Sadness
con gái hay ảo_tưởng như_vậy lắm 😌,Sadness,Disgust
sao đúng bài mày kết vậy 🙁_🙁 🙁,Other,Enjoyment
per chị rep khách_hàng thế ấy hả 😞 bị bóc phốt rồi,Sadness,Surprise
"per tìm tao con nhện này , con này lãng_mạn coá",Other,Enjoyment
per đọc nhầm con nhện thành con gián_:)) thật khó hiểu,Other,Disgust
per biết phân_biệt phải trái không vậy ? ? ? và có biết đỗ như_thế_nào là đúng luật không ? ? ?,Anger,Other
cũng muốn có những hành_động đáng yêu nv,Other,Enjoyment
"phàm việc quan_trọng trong thiên_hạ , cứ về hỏi vợ , vợ nói sao cứ làm ngược_lại chắc chắc sẽ đúng !",Enjoyment,Other
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Other,Sadness
bức ảnh này lại làm mình bị ám_ảnh . haz,Fear,Enjoyment
giỏi thiệt . nể . giọng ở tao khó z mà ông này nói được giỏi 😁,Surprise,Enjoyment
thế là hết những gì đẹp nhất của nước pháp_sao không phun nước cứ để cháy rần_rật nhỉ,Sadness,Surprise
quảng_cáo đéo gì tao thấy đáng sợ vãi .,Anger,Fear
tao thì nói xong lại thấy người ta không hứng_thú thì lại lượn,Sadness,Other
bá_đạo vậy chơi sao lại 🤣,Fear,Surprise
cô ấy còn không thèm coi tin nhắn của tao : ( (,Disgust,Sadness
"haha con hãm bán nước hoa_fake mà kêu real , bị tao vạch mặt rồi block tao",Other,Enjoyment
nhìn mặt ông thầy cay lắm :)),Enjoyment,Sadness
nhiều khi chỉ_ước gì mấy đứa bá_dơ này có_thể chết thay cho chị nữ_sinh giao gà thì hay biết_mấy ...,Other,Sadness
per không_lẽ sau_này kím bạn trai không tập gym 😖,Sadness,Other
per con_người dù có bị trừ hết điểm cũng chạ thèm quan_tâm ạ 🙂,Disgust,Other
per theo vợ nghĩ nếu là chồng thì chắc con đó dù là giả cũng sẽ lên nồi,Enjoyment,Other
"con_người hay con vật nó còn biết suy_nghĩ , đây là loại gì",Disgust,Other
ngon xuống đây nói_chuyện tử_tế với bố như 2 con chó xem,Anger,Disgust
đời tao ghét con súc_sinh này vãi .. nhiều khi tao tự_vấn tao làm gì sai mà mỗi lần tao đi qua nó là y_như_rằng tao phải chạy như chó chứ không_thể_nào hiên_ngang đi 1 cách như người bình_thường,Disgust,Anger
trong luâ ̣ tao co_́ khung hi_̀ nh pha ̣ tao bă ́ n không . ghê_tơ ̉_mày con qua ́ i na_̀ y_qua ́,Disgust,Sadness
người ta có bạn_bè nhìn vui thật,Sadness,Enjoyment
"cái công_ty thực_phẩm cung_cấp cho các trường mầm_non thật quá độc_ác . vì lợi_ích cá_nhân mà ảnh_hưởng khủng_khiếp tới các em . quá dã_man . các người gây nên họa thì mai này đời con đời cháu sẽ phải gánh_nghiệp đó thôi . gieo_nhân nào gặt quả ấy , đừng tưởng bây_giờ sống nhé_nhỉ thế_là không sao . đời còn dài lắm",Other,Disgust
per khi bạn đang feed_mạng nhưng chị bạn lại bật hongkong1 :))))))),Other,Enjoyment
khi nào phường có chế_độ phát chồng khi mang thân đến đăng_kí kết_hôn tự_nguyện 😊,Enjoyment,Other
làm như là người tối cổ mà không biết . này là bếp từ phiên_bản đầu_tiên chứ gì,Other,Disgust
"suốt ngày trật ray , còn hay không sự phù_hợp hệ_thống ray - tàu với hệ_thống đường_sắt vn",Fear,Other
"nếu chấp_hành nghiêm_chỉnh luật giao_thông ai phạt mình được nhỉ . cũng giống như đi học không thuộc bài giáo_viên cho 0 ₫ là phải rồi . tất_cả là do ý_thức con_người , đừng đỗ lỗi cho ai . 😑 😑",Disgust,Other
coi mần cái mặt kìa_trời 🤣,Other,Anger
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện_thoại vãi :),Anger,Fear
"cái này mà đơn_giản ? chị à , là chị nghĩ đơn_giản thôi = ]_] ] ]",Disgust,Enjoyment
vì những thành_phần như bạn mà page cứ phải khóa bình_luận cho trong_sạch đấy . thật là giông_bão 😌,Disgust,Sadness
nhớ cái váy với bộ tóc chấm bi đen_trắng của anh huy ghê,Other,Enjoyment
thân gửi mấy má bán combo quà độn xốp với mấy cha có ý_định tặng 😂 😂,Disgust,Enjoyment
"có người cả đời ăn_không hết lại có người thiếu ăn , thiếu mặc nhìn chán_đời vãi",Sadness,Disgust
"phàm là việc đại_sự trong thiên_hạ , cứ về hỏi vợ . vợ bảo_sao thì làm ngược_lại . ắt thành_công ! ! !",Other,Enjoyment
nói gì thì tụi bây cũng không tin đâu .. 😌 😌,Sadness,Other
per khóc quá trời rủ họp lớp đéo thấy đâu,Disgust,Sadness
nghĩ cũng tội mà thôi cũng kệ,Other,Sadness
nhện thông_minh quá per,Enjoyment,Surprise
mình còn để ảnh bạn ấy trong thẻ học_sinh xong bị thấy cơ,Enjoyment,Other
