Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
tao thấy có 1 thằng dân_trí thấp trong đám bình_luận này rồi đấy,Disgust,Other
còn gì đau hơn,Sadness,Other
cay đắng ngọt bùi . nhưng cay_đắng thì thường nhiều hơn =)),Other,Enjoyment
"tao cũng vậy , mấy cái thiệp chúc_noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên xi",Other,Disgust
"hai thằng đó sẽ .. nhau , cô về nhà nằm_mơ típ đi cô bé",Disgust,Other
tôi đập cho tòe cái mỏ lun nha,Anger,Other
có thì tốt nhất đừng có giận vì ngoài kia bất_cứ thằng nào cũng sẵn_sàng_dỗ dành bạn gái của bạn 😋,Fear,Disgust
giờ cắt bộ móng đi cái tay vẫn cứ bị phế_khó mà phục_hồi được,Sadness,Other
ơ . t chỉ quan_tâm sao mày lại mặc quần màu hường hình cô gái thôi ? ?,Other,Disgust
"gặp tao , tao ré cái hoảng mất : ( ( đáng sợ qué",Fear,Sadness
mày cứ đái ra võng là lần sau vợ mày sẽ rút kinh_nghiệm,Disgust,Other
mèo người ta đi_lạc về nó còn nhớ chủ chủ còn được đụng nó còn mèo nhà tao đi tán_trai có mấy tháng về nhà thấy chủ như thấy ma_😌 😌,Sadness,Enjoyment
"mấy con đĩ xạo lồn tao thấy mà tao tức_á , chia bè phái ra làm rầm_rầm_rộ rộ",Anger,Disgust
mày xuống thì xuống mẹ mày đi . ngứa cả mắt 😩_😩 😩_😩 😩,Anger,Disgust
per đáng sợ quá,Fear,Enjoyment
thấy cái thèm ts quá,Enjoyment,Disgust
nghe tiếng ăn_tợp tợp ám_ảnh quá,Disgust,Enjoyment
sao lại bất_công_thế,Sadness,Other
tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓,Fear,Enjoyment
"crush một ai đó là điều không bao_giờ có rồi , vì mình vừa béo , vừa xấu gái , vừa vv and_vv . auto_nhục 😞_😞 😞",Sadness,Disgust
"tự_nhiên thấy tụi con gái khóc tu_tu , thế_là mình lủi ra ghế đá trước lớp ngồi . tự_nhiên cô dạy_văn cũng ra theo xong ôm mình khóc ,",Sadness,Disgust
"việc của ông vũ_giờ là mua nhiều thật nhiều cigar và lên chùa xây cái am_trung_nguyên thiền_định tiếp đi qua ơi , qua quậy quá rồi để cho vợ và 4 con tiếp_quản được rồi qua ơi .",Disgust,Enjoyment
"thôi xong , biết thế_tém tém lại .",Fear,Disgust
"hành nó đưa đèn ông sao lên nữa chứ , ác_vãi , ta nhớ lại còn cay ?",Anger,Disgust
"thì bác cứ tranh_luận đi , bác nói đúng thì mình cũng chả nói gì , còn mình thấy cái kiểu cậy nhà mặt_đường nhưng tư_tưởng nhắn_tin kia thì kiểu gì cũng có ngày sấp mặt .",Anger,Enjoyment
không biết có ai ở trong ngôi nhà không,Fear,Other
"chân ta cũng là chân đi và giờ bị đứt dây_chằng , nằm một chỗ đợi mổ rồi mày . đồng_cảm vãi",Sadness,Disgust
sao mình gặp toàn thằng mất_dạy hay bắt_nạt mình nhỉ ? tuổi_thơ bất_hạnh :),Sadness,Other
vì lợi_nhuận con_người ta có_thể độc_ác với nhau như_vậy sao ? ? ?,Disgust,Other
có hôm tao đang vương_nỏ tính bắn vào con họa_mi đang đậu trên cành thì ai_ngờ nó phản_đame đứt_thun dội ngược vào mặt từ đó tao không còn chơi nữa,Sadness,Disgust
và đó đéo phải là tao =))),Sadness,Enjoyment
"tao cũng như mày đây . không sao cả , hãy tự_hào vì tên mày vẫn rất đẹp",Enjoyment,Sadness
"giỏi quá ta , cố_gắng phát_huy nha",Surprise,Enjoyment
lũ bảo_vệ nhìn vô_dụng nhỉ : v quanh đó có gì xảy ra còn del biết thì làm bảo_vệ làm cái gì ?,Disgust,Other
sản_phẩm nhìn lạ quá ta,Surprise,Sadness
bọn yêu nhau tưởng thế_là hay,Disgust,Other
phận làm trai nào sung_sướng gì 😂,Sadness,Enjoyment
cao_su đó khai_thắc làm_sao có mủ,Other,Surprise
thế mày nằm viện nào tao vào thăm luôn cho động_lực,Other,Disgust
cuộc_đời bạn đáng_giá bao_nhiêu tiền,Other,Disgust
crush đéo bị thịt nhé : d nó cũng ế_vãi vì tội chảnh chóa,Anger,Disgust
hôm_qua tao xem xong ngất_xỉu tới giờ mới tĩnh chúng_mày ạ 😌_😌 😌,Sadness,Disgust
per hèn gì thấy ngày nào anh cũng đi tập 😂_😂 😂,Other,Enjoyment
sợ vãi,Fear,Disgust
"thương quá . giờ con đi học ở lại cả ngày thì hên xui thôi chứ biết làm_sao , không ăn thịt heo thì ăn gì . mong sao có lệnh tạm dừng ăn thịt heo trong thời_gian này cho các trường mầm_non thì hay biết_mấy .",Sadness,Disgust
phải biết thiên_thời địa_lợi nhân_hòa 😐 😐,Other,Enjoyment
"ngày_xưa toàn ăn cơm với nước_mắt , ngày_trước giận_bố lắm , nhưng giờ mới cảm_ơn bố vì như_thế mới có mình ngày_nay",Enjoyment,Disgust
loài vật đang dần_dần có trí_khôn và hành_động như một con_người còn một_số người thì đang tiến hóa ngược : v,Disgust,Sadness
thính hơn chó_động 1 tí là kêu inh_ỏi điếc cả tai . đuổi thì đuổi dai_😒,Anger,Enjoyment
đọc thôi cũng mệt,Disgust,Other
tiên_sư bố nhà_mày . tao chịu hết_nổi rồi nhé 🤤,Anger,Enjoyment
"đọc bình_luận không thấy ai khen cute dễ_thương đáng_yêu này nọ nữa nhỉ :))))) một ngày đẹp trời bạn ra ngõ đứng_hít không_khí , con mèo sẽ kệ mẹ bạn , con chó vẫn sẽ đi đái_bậy , nhưng con một lằn này thì đéo , nó phi con mẹ nó ra dí chạy như một con điên",Anger,Disgust
một đứa sợ sấm chớp không thích hình_ảnh này huhu,Fear,Disgust
"per giỏi phết đấy mỗi tội nghịch thôi , được cái làm từ_thiện nhiều .",Enjoyment,Other
chơi vậy ai chơi,Disgust,Other
ăn cút mẹ mày ra chỗ khác ăn nhé .,Anger,Disgust
tao thấy đéo có cái gì để tao cầm được cơn cười cđcm nó ! :)),Enjoyment,Disgust
ngày bé nấu hoài không chín . tức rủ mấy đứa ra đốt cả đống rơm nhà hàng_xóm,Enjoyment,Disgust
cũng chỉ vì việt_nam nuôi một lũ kỹ_sư . tiến_sĩ phá_hoại mới làm thiệt_hại kinh_tế nhiều vô_kể chúng_nó sài toàn bằng tại trức thì biết con mẹ gì mà đưa cây cao_su ra bắc trồng khác gì đưa cây dừa ở trong nam ra bắc trồng . một lũ bò,Anger,Disgust
"người đàn_ông ốm_đau nói với vợ mình : ” ở lại với anh ” rồi cầm tay bà . đó là tình_yêu , vỏn_vẹn 20 năm ngắn_ngủi . tình_yêu bố dành cho mẹ",Enjoyment,Disgust
"per lại nữa , tao dg suy_nghĩ có nên đi bằng rap về không",Sadness,Other
per hình_như bài mày ngh hôm_nay . như cứt mai đừng mở nữa,Disgust,Other
cũng đỡ_tắc hơn 1 tí,Enjoyment,Other
chời ơi mới chụp răng 2 bữa trước về không ngủ được tới nay luôn,Sadness,Disgust
hãy tôn_trọng quyền được mưu_cầu hạnh_phúc của mỗi cá_nhân con_người trên thế_giới này đi . đừng kì_thị họ ! tội_lỗi lắm 🙂,Other,Disgust
per trailer không có tiếng thôi mà đã thấy ghê rồi đó !,Fear,Enjoyment
con nhà người ta kbh làm bố_mẹ mình thất_vọng 😪,Other,Disgust
yêu thế,Enjoyment,Disgust
điều tồi_tệ nhất là kiểm_tra code trên giấy .,Sadness,Other
"xem cái con cặc gì , tắt đi",Anger,Other
dume mặc_dù tao rất yêu chó nhưng tao cũng sợ chó nữa : ( (,Fear,Sadness
ờ công_nhận đáng sợ vãi 😭,Fear,Disgust
cũng thơm mà . kì_thị quá à .,Enjoyment,Disgust
đm tao biết trước cả sự_việc kiểu lìn gì cũng có nhện nhảy lên màn_hình . vì mấy năm trước cũng có 1 thể_loại giống như_vậy . đm hú nhồn,Fear,Disgust
"con sâu làm rầu nồi_canh , tuyệt_đối không có chuyện ....",Disgust,Other
cần lắm những sẻ_chia . cần lắm những thấu_hiểu,Sadness,Enjoyment
ngày tao chia_tay tao khóc quá trời luôn,Sadness,Enjoyment
"quay quay cái lồn , thấy bị bắt_nạt thì_ra nói một câu bảo_vệ người ta , có_khi tối về lại có người nằm ôm . cứ cầm điện_thoại pin với chả không pin",Anger,Disgust
bà mẹ tháng cô_hồn nghèo rớt mồng_tơi mà cứ chiếu_phim tiền đâu mà coi trời oi là troi,Anger,Disgust
đến năm cuối đại_học rồi lúc nhớ lại đéo có gì :)),Sadness,Disgust
mong mai_sau cũng được như ông_bà,Enjoyment,Other
ờ tao tao thông_minh thiệt đã dừng lại đúng lúc,Enjoyment,Other
ngày_xưa mẹ tao dạy ở miền núi . năm tao học lớp 3 lần đầu_tiên lên trường với mẹ . đaumoa mấy con ngỗng mất dạy rượt tao leo lên cây phượng cao chót_vót cả tiếng không dám xuống .,Fear,Anger
tuy chưa viết hết nhưng tao người khác sẽ hiểu là viết cái gì,Enjoyment,Other
đơn_giản_nha .. cơm này ngon hơn cơm điện nhiều . không tin thì cứ thử,Enjoyment,Other
"hồi lúc tao ăn lạp_xưởng mắc xương , nói mà cũng đéo ai tin . tao hiểu cảm_giác của mày lắm ?",Enjoyment,Anger
sợ vãi tè ăn_độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu,Fear,Anger
tính ra con_bé đó chuyên_nghiệp ấy chứ,Enjoyment,Other
cho con được thay ông bán vé đi 😔,Sadness,Other
tao đéo thấy nó hay trỗ_lào mà bọn nó cuồng_vãi,Disgust,Anger
tao mà ở đây là sợ rụng trứng luôn chứ đừng nói ăn,Fear,Disgust
dự là sắp có án_mạng xảy ra 😂,Other,Enjoyment
kết_thúc phim bất_ngờ quá,Surprise,Enjoyment
trong 1 năm đó bố_mẹ ông cho ông 10 tỷ_đố là tiêu_vặt và 1 con lám_bồ để đi giao hàng,Other,Disgust
thích :)))) đi làm vui hay không là có đồng_nghiệp tốt đừng chơi xấu mình là được :)),Enjoyment,Other
thế_giới giờ đáng sợ quá rồi 😌 😌_tâm phải tịnh không là tiêu_nha mấy ông 😢,Fear,Sadness
vậy vài bửa trời nắng mình không mang quần nằm dưới nắng cho nó nở ra :)),Other,Disgust
đây người ta gọi_là . khi đại_thánh_nhập hoặc là múa lân đầu năm,Other,Enjoyment
ừ thì là chuyện cổ_tích . cháu đang đi đường_thẳng gặp mấy chú thì phải rẽ ngang . 😢 😢,Sadness,Disgust
có đứa nào vừa xem vừa sờ_tai mình không ? sợ vãi : <_< <,Fear,Enjoyment
đối_với thế_giới này bà lão chỉ là một ai đó . nhưng đối_với ông lão đó bà lão là cả thế_giới 😊,Enjoyment,Other
per hihi nhớ không,Enjoyment,Other
tao bướng nhưng mặt_đéo đến_nỗi như con_bé kia 🤣,Enjoyment,Disgust
về nhanh thế,Surprise,Other
buồn cô lắm,Sadness,Other
móe . con nhện . cười đau cả ruột .,Enjoyment,Disgust
":)))) cuộc_sống mà . ngày_càng thấy bản_thân quá nhạt và "" duyên "" : v",Sadness,Enjoyment
per anh có định_quát mắng em không,Other,Enjoyment
"vailon :)) học_sinh cơ , dume nó",Disgust,Enjoyment
hóa ra chúng_ta không biết nhiều về tình_yêu như ta vẫn nghĩ 😢,Sadness,Other
page rẻ rách đĩ mẹ tao bỏ theo_dõi súc_sinh cận_bả xã_hội dcm 18 đời nhà mày :),Anger,Disgust
😑 sao cái kết gì mà buồn vậy,Sadness,Other
sao tao ghét mấy cái tiếng cười của bọn khựa_vãi mà video lồn nào cũng nge,Disgust,Anger
chọn thằng nào có tương_lai hơn . tức có bố_mẹ giàu hơn,Other,Enjoyment
"fa lâu năm có biết 14 / 2 hay 15 / 2 là ngày gì đâu , chỉ biết là ngày đi làm về và rất mệt",Sadness,Other
"con yêu_nghiệt , tỏ cái vẻ đáng thương còn ăn_vạ =)))",Disgust,Enjoyment
vâng ah nên em cũng sợ quá mà : - ),Fear,Sadness
"nhỏ thấy qua 1 lần , nó bị cột ngay trước cửa nhà người ta ở trong hẻm , mỗi lần đi ngang qua là nó lại định_lao tới cà_khịa",Fear,Disgust
per biết không :))),Surprise,Other
tưởng mai đi họp phụ_huynh mới bị u_ám . ai_ngờ hôm_nay mới biết điểm anh 9 . 5 thôi đã u_ám rồi :),Sadness,Disgust
hãm lol nhưng thật lòng chứ còn hơn cứ tỏ ra trưởng_thành mà bên trong thì như đồ bỏ đi,Disgust,Other
"ước gì con về với mẹ ...._đợi mấy tháng rồi vẫn chưa thấy bóng_dáng con , mong con vẫn sống ...",Sadness,Disgust
per mắc dại quá mà,Disgust,Other
nó hiền_thôi chứ nó hung lại đấm cho không trượt phát lào . 🤣,Other,Disgust
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng_cáo ấy ( ý_kiến cá_nhân ) 😔,Disgust,Sadness
per vẫn là con_mẻ . nay hàng họ to quá ; ) ) ) ),Surprise,Enjoyment
yêu như trẻ_con tập yêu ây .. có cái chúc sinh_nhật mà nháo_nhào lên cãi nhau,Disgust,Enjoyment
con nhà mất dạy,Disgust,Other
hạnh_phúc ghê,Enjoyment,Disgust
ý là giọng quê tao đó hã,Enjoyment,Other
có cái ảnh tỉ năm trước cứ đăng_đăng con cặc . đéo thấy nhàm à . nghĩ thôi thấy bất_hạnh vãi .,Anger,Disgust
nhìn thương quá ... lao_động nghiêm_túc,Enjoyment,Other
bắt được rồi cho bọn này đi chết đi để chúng_nó sốn rồi làm hại người khác,Anger,Disgust
tuyển ngay về làm nghiên_cứu_viên cao_cấp cho các hãng khóa : d,Enjoyment,Other
per ê xem đi phim này lâu rồi nhưng_mà hay lắm,Enjoyment,Other
cấm đỗ là việc của công_an,Other,Disgust
bó_tay luôn á,Sadness,Enjoyment
ly_hôn kiểu này thì không cần tới bước cuối_cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý_định ly_hôn luôn rồi ... kkkk,Enjoyment,Disgust
bình_luận gì ông này diễn_trò ngày nào đi qua khoảng hơn bốn giờ chiều là gặp,Disgust,Other
đừng bao_giờ chơi_trò giận_dỗi với lũ con gái :)),Other,Disgust
nhìn quả mặt nó làm tao thỏa mãn vãi,Enjoyment,Disgust
"diễn còn cứng quá à , kiểu biết rồi mà_còn giả_bộ bất_ngờ :))",Enjoyment,Disgust
tối nay chồng tương_lai sẽ đưa con khác đi chơi 😆_😆 😆,Sadness,Enjoyment
mày xinh_thế ? tao ốm_tí đã xấu hoắc,Sadness,Disgust
chờ thằng kia lật mặt mãi không thấy,Other,Disgust
ám_ảnh đến bây_giờ 24 tuổi vẫn sợ ngỗng :))),Fear,Disgust
per ý_nghĩa giống phim không ? ? ?,Surprise,Other
ko nghe lời vợ mới là mấu_chốt :),Other,Disgust
nhưng nó cười với đứa khác không phải mày .... 💔,Sadness,Other
"tao cảnh_cáo , page mà đăng mấy video kiểu_ngôn_lù thế_này tao unlike , trả per trả cụ lầy , trả anh thai cho tao",Anger,Disgust
chuột nhìn thấy said : bố lại sợ mày quá cơ_=))),Other,Enjoyment
"nó gieo cho tao mầm hi_vọng , hi_vọng vừa chớm nở nó đạp xẹp lép_sự hi_vọng bằg sự lặng_im",Sadness,Enjoyment
mạnh vỗ_tay 👏,Enjoyment,Disgust
thế hóa ra nguy_cơ trầm_cảm của tao cao lắm,Sadness,Other
cho nghỉ viêc mói đúng sao goi là kỷ_luật,Surprise,Disgust
dm con già mà hành_xử trâu chó . đời nó sẽ gặp báo ứng,Anger,Disgust
gặp tao thì tao khinh,Disgust,Fear
giờ tao mới nhớ tao đã từng :)),Enjoyment,Sadness
nói như việt_nam . nhưng hơi láo cá chắc thầy của ônc cũng như ông,Disgust,Other
chuột mà làm như người vậy .. ít hôm nó gặm cả rắn cả dây thì thấy mẹ ..,Fear,Other
chắc sổ_đỏ có cả vỉa_hè và đường :)),Other,Disgust
tận_cùng của tan_vỡ,Sadness,Other
mấy cái video của bọn này đóng hay vãi,Surprise,Enjoyment
đéo mang não ... tay lại nhanh hơn não rồi ..,Disgust,Anger
gà này cho chó ăn mà . bọn mất dậy vì tiền nó giết chết dần chết mòn con nhà nghèo . địt bố bọn mắt dậy,Anger,Disgust
per kỷ_niệm khó quên nhỉ kkk,Enjoyment,Other
đi chơi còn bỏ quên cả não ấy,Disgust,Other
per chiều anh bắn chưởng để em quay nhé,Other,Enjoyment
đốt cháy túi_tiền thì ở nhà cho_rồi . xem chi không biết,Anger,Disgust
thanh_niên leo lên cao để theo_dõi thời_tiết để thông_báo cho người_dân đi cấy thật cảm_động,Enjoyment,Other
mày ăn cái gì mà khôn_vaiz thế,Surprise,Disgust
phải bồi_thường thiệt_hại bị trầy_xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other,Disgust
bà nuốt_quả chuối tao cười tao ẻ,Enjoyment,Fear
rơi mất tim . nguy_hiểm thiệt_^ ^,Fear,Anger
nhân_quả đến sớm lắm . đăng lên làm gì :))),Other,Enjoyment
per nhớ quá trời nhớ luôn nè,Other,Enjoyment
cuộc_sống mà mấy_ai được trọn_vẹn 😢 😢,Sadness,Enjoyment
"như mình mà trèo lên là bị phóng_điện luôn bạn nhỉ , mình cũng không hiểu được sao bọn nó không bị",Surprise,Other
bác_sĩ mất dạy,Anger,Other
thằng ben thật tội_nghiệp,Sadness,Disgust
"nhìn này thần_sắc thế kia thì đeo sao đâu , yên_tâm đi không được hốc hôm_nay thì hôm sau hốc lo cái đéo gì chứ",Other,Disgust
trông tội quá,Sadness,Surprise
quan_trọng nhất vẫn là tấm lòng 🙂,Other,Enjoyment
đúng là tốt quá lai_thành lạm_dụng 😶,Sadness,Disgust
per mốt đừg có thiết_kế hay xây mấy cái kiểu như dị nhé hem > <,Other,Enjoyment
khổ_thân các cháu,Sadness,Other
bố là số 1 vĩ_đại hơn những gì con cần,Enjoyment,Other
khi nào tao thấy thích . mà thích rồi chưa có người thích cùng .,Sadness,Enjoyment
nói tới thì lại dỗi bỏ được mấy đồng ra rồi bày ra như chuồng lợn í_thức đéo khác gì con lợn .,Anger,Disgust
nói_chuyện như người_yêu ? ?,Enjoyment,Other
mày ăn_cứt hay sao ngu thế hả,Anger,Other
boss dễ_thương hết_sức,Enjoyment,Other
"cái khó_ló_cái_khôn , yên_tâm",Other,Disgust
chắc anh phải đáng yêu lắm luôn ý_nhể 🤗 🤗,Enjoyment,Anger
nếu địa_phương không xây cầu thì người_dân cũng có_thể tự làm cầu cây mà . phóng lỡ_hụt chân thì xác_định nát người .,Fear,Anger
bố_mẹ là những người yêu ta vô_điều_kiện ...,Other,Enjoyment
đống góp ý_kiến gì mà tằm với tàu không hà,Disgust,Other
tại_sao mày nằm viện mà vẫn xinh_thế ? ?,Surprise,Disgust
cố_gắng lên cụ nhé ! ! ❤,Other,Enjoyment
1 lần thôi cũng đủ xao_xuyến anh rồi,Enjoyment,Other
t chỉ thấy tình_yêu của tao nó tan_vỡ thôi,Sadness,Other
đúng là chân_thật luôn_luôn tổn_thương !,Sadness,Enjoyment
rồi các em cũng ăn_cứt thôi :)),Disgust,Enjoyment
vậy cũng được luôn hả ? 😄,Surprise,Enjoyment
"thank you giỏi quá vì nước quên_thân , vì dân phục_vụ ...",Enjoyment,Sadness
"replay chục lần đoạn cuối , phê quá",Enjoyment,Disgust
moá nhìn rùng_hết cả mình,Fear,Disgust
trong phim này thấy cái thằng anh_hùng đạp xa đạp phế_vkl,Disgust,Enjoyment
hậu duệ mặt_trời đấy chứ đùa đâu nhá_😗 😗,Other,Disgust
dăm_ba cái trò nấu cơm này sao làm_khó tao .,Enjoyment,Other
"ôiii vãi , dume nhìn thôi tao đã sợ rồi . từ nhện nhỏ đến nhện to không con nào là tao không sợ : ( (",Fear,Sadness
per tôi có 1 thằng bạn lúc_nào cũng chỉ lo dìm hàng chiều cao của tôi thôi .,Disgust,Other
"ôi những con_người dễ bị ám_ảnh với quá_khứ , ôm nhau cái nào",Enjoyment,Disgust
per nhìn nó gớm những vẫn khoái coi . thú_vui biến_thái dễ sợ,Enjoyment,Disgust
cám_ơn mấy_chế nhiều nhiều nhé 😗,Enjoyment,Other
"tao sợ chó lắm . """,Fear,Other
còn đồng_nghiệp hãm_lờ thì ...,Disgust,Other
làm người khác thỏa mãn bằng mùi hương của chính bản_thân,Enjoyment,Other
nóng như này ăn vải là thích nhất còn gì ... auto mát,Enjoyment,Disgust
má :))) đoạn đeo mặt_nạ kinh_dị vkl :)),Fear,Enjoyment
"xã_hội thật phức_tợp , huhu . không muốn sống chung loài_người nữa , tao về núi đây",Fear,Sadness
thế nên bán hàng có tâm là đừng bao_giờ nài_nỉ khách mua thêm vì biết_đâu bạn vô_tình làm cho nỗi đau của họ trở_nên tồi_tệ hơn .,Sadness,Disgust
ghét vãi nồi,Anger,Enjoyment
"ôi dume_giật nảy_mình , tí thì rơi điện_thoại",Fear,Disgust
nhìn đoạn ổng tránh nó cắn mà nhảy_tưng tưng rất chi là điệu_nghệ và mang trong đó cả sự tấu_hài nữa 🤣 🤣,Enjoyment,Disgust
"quê tao mà , tao nhìn 1 cái là biết ngay",Other,Sadness
per trình mày vẫn còn thấp_chán =)),Other,Enjoyment
huhu sợ vãi luôn á,Fear,Disgust
chưa bao_giờ b đến đích là gì cả,Sadness,Other
đi viện thôi mà có cần phải đẹp vậy không,Surprise,Other
"giơ cao đánh_khẽ , cảnh_cáo cho có lệ",Anger,Enjoyment
"trong tất_cả các con , con mèo là mất_dạy nhất …",Disgust,Other
dume đáng yêu_vãi để tao vào chăm_mày,Other,Anger
"cái lò huyền_thoại nè per , lúc mình ở chung đó",Enjoyment,Other
tao đang chờ xem bà ấy được nghe nhạc_ý mà hết video 🤣,Enjoyment,Other
cỡ nào anh cũng có_thể chịu_đựng được vì anh yêu em,Enjoyment,Other
chuyện buồn quá chúng_mày à . tao không dám đọc sợ làm quyết_tâm có người_yêu của tao lung_lay 🙄,Fear,Disgust
"chỉ có bạo_lực mới giải_quyết được bạo_lực , tao mà làm_luật tao sẽ hạ_tuổi người_lớn là 13 tuổi , đem nó lao_động khổ_sai 10 năn",Anger,Enjoyment
uầy . ngọt thế ? ? ? ? ? ?,Enjoyment,Other
sau_này mình có được như_vầy không nhỉ 😊,Other,Enjoyment
"khổ_thân người_dân , trước dự_án cao_su là dự_án cà_phê , làm thêm dự_án nữa coi như một đời bỏ phí",Sadness,Other
1 bạt tai 2 đạp chứ ở đó bướng,Anger,Other
cái cuối phê_vãi,Enjoyment,Disgust
bướng tao đập chết cụ mày,Anger,Other
chính những người như_thế họ rất cẩn_trọng khi bật xi_nhan đấy,Fear,Disgust
sao chúng_nó dã_man thế nhỉ,Surprise,Disgust
chuyện nhà người ta mà cứ thích_bới cả lên 😅_😅 😅,Disgust,Enjoyment
không biết phải mình lúa không . chứ mỗi lần đi du_lịch trước khi trả phòng là mình phải dọn sạch_sẽ . cứ nghĩ nhận phòng sao thì trả phòng vậy . bị anh chồng la hoài là vậy,Sadness,Disgust
đem hủy mẹ đi . đấu_giá cái quần_què gì xong thằng mua lại nó hứng nó cho cả thế_giới dính vr cmnl .,Anger,Disgust
"đừng so nó với chó . , vì chó nhà tao cũng từng bị nó cắn rồi 🤧 . nó đéo ' sợ bố_con thằng nào cả .",Anger,Disgust
chắc mình là thánh_nguy_hiểm,Enjoyment,Disgust
quả này cũng chất lắm,Enjoyment,Other
