Câu văn thực tế,Nhãn thực tế,Nhãn dự đoán
tao thì muốn là đéo bao_giờ . nhưng mẹ tao thì muốn ngay bây_giờ 😢,Sadness,Enjoyment
loạn hết rồi,Disgust,Enjoyment
còn gì đau hơn,Sadness,Other
quan_trọng là họ quảng_cáo nói có đúng không . hay_là được ít năm hỏng thì mệt,Other,Sadness
cảm_ơn bạn đã yêu đất_nước việt nam tôi,Enjoyment,Other
thần_kinh cái đầu mày …,Disgust,Other
cay_đắng ngọt_bùi . nhưng cay_đắng thì thường nhiều hơn = ) ),Other,Enjoyment
"tao cũng vậy , mấy cái thiệp chúc noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên_xi",Other,Disgust
"hai thằng đó sẽ . . nhau , cô về nhà nằm_mơ típ đi cô bé",Disgust,Sadness
tôi đập cho toè cái mỏ lun nha,Anger,Other
có thì tốt nhất đừng có giận vì ngoài kia bất_cứ thằng nào cũng sẵn_sàng dỗ_dành bạn gái của bạn 😋,Fear,Disgust
giờ cắt bộ móng đi cái tay vẫn cứ bị phế khó mà phục_hồi được,Sadness,Disgust
ơ . t chỉ quan_tâm sao mày lại mặc quần màu hường hình cô gái thôi ? ?,Other,Enjoyment
"toan cao lại nữa , tao dg suy_nghĩ có nên đi bằng grap về không",Other,Sadness
"gặp tao , tao ré cái hoảng mất : ( ( đáng sợ qué",Fear,Sadness
tao chắc_chắn là cái sừng đã mọc,Other,Enjoyment
mày cứ đái ra võng là lần sau vợ mày sẽ rút kinh_nghiệm,Disgust,Sadness
mèo người_ta đi lạc về nó còn nhớ chủ chủ còn được đụng nó còn mèo nhà tao đi tán trai có mấy tháng về nhà thấy chủ như thấy ma 😌 😌,Sadness,Disgust
"mấy con đĩ xạo lồn tao thấy mà tao tức á , chia bè_phái ra làm rầm_rầm_rộ rộ",Anger,Disgust
mày xuống thì xuống mẹ mày đi . ngứa cả mắt 😩 😩 😩 😩 😩,Anger,Enjoyment
per đáng sợ quá,Fear,Enjoyment
thế theo mấy bác lớp 5 thì viết chữ như thế_nào ạ,Other,Sadness
nghe tiếng ăn tợp tợp ám_ảnh quá,Disgust,Enjoyment
tao thề . nhìn bạn ấy xong tao muốn rụng mấy quả trứng luôn 😓,Fear,Disgust
"crush một ai đó là điều không bao_giờ có rồi , vì mình vừa béo , vừa xấu gái , vừa vv and vv . auto nhục 😞 😞 😞",Sadness,Enjoyment
"biết có người binh mà mới chửi lại đó , con hư tại mẹ thui",Disgust,Sadness
"tự_nhiên thấy tụi con_gái khóc tu tu , thế_là mình lủi ra ghế đá trước lớp ngồi . tự_nhiên cô dạy văn cũng ra theo xong ôm mình khóc ,",Sadness,Disgust
cười ỉa 😂 😂 thây nó thét mà tao nghĩ dọn xong nó đi luôn cái cổ_họng,Enjoyment,Disgust
t tưởng nó nói tiếng việt chứ,Other,Enjoyment
"thôi xong , biết thế tém tém lại .",Fear,Other
"hành nó đưa đèn ông sao lên nữa chứ , ác vãi , ta nhớ lại còn cay ?",Anger,Enjoyment
bọn dân_trí thấp tưởng thế_là hay .,Disgust,Enjoyment
"thì bác cứ tranh_luận đi , bác nói đúng thì mình cũng chả nói gì , còn mình thấy cái kiểu cậy nhà mặt_đường nhưng tư_tưởng nhắn_tin kia thì kiểu gì cũng có ngày sấp_mặt .",Anger,Disgust
không biết có ai ở trong ngôi nhà không,Fear,Other
"chân ta cũng là chân đi và giờ bị đứt dây_chằng , nằm một chỗ đợi mổ rồi mày . đồng_cảm_vãi",Sadness,Disgust
vì lợi_nhuận con người_ta có_thể độc_ác với nhau như vậy sao ? ? ?,Disgust,Sadness
có hôm tao đang vương nỏ tính bắn vào con_họa mi đang đậu trên cành thì ai_ngờ nó phản_đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa,Sadness,Disgust
và đó đéo phải là tao = ) ) ),Sadness,Enjoyment
"tao cũng như mày đây . không sao cả , hãy tự_hào vì tên mày vẫn rất đẹp",Enjoyment,Sadness
"nhiều người nói con này giả ngu câu thích , nhưng xem_lại nhiều lần thấy nó ngu thiệt chứ không phải giả_bộ",Disgust,Sadness
"giỏi quá ta , cố_gắng phát_huy nha",Surprise,Other
lũ bảo_vệ nhìn vô_dụng nhỉ : v quanh đó có gì xảy ra còn del biết thì làm bảo_vệ làm cái gì ?,Disgust,Sadness
cha_mẹ tao còn cãi_lộn nhau vì không biết ngày_sinh tháng sinh của tao là dương hay âm 😢 😢,Sadness,Disgust
cần có cơ_quan_chức_năng tới để làm rõ vụ_việc với ngư_dân đã bắt nó,Other,Sadness
sản_phẩm nhìn lạ quá ta,Surprise,Other
"cũng tùy , đôi_khi không cần vật_chất mà chỉ cần động_viên , san sẽ những khi con mình vấp_ngã hay khó_khăn trong cuộc_sống thì ...",Sadness,Enjoyment
bọn yêu nhau tưởng thế_là hay,Disgust,Enjoyment
"từ nay ho , thì phải kiếm chỗ nào nằm tạm",Other,Enjoyment
phận làm trai nào sung_sướng gì 😂,Sadness,Enjoyment
cao_su đó khai thắc làm_sao có mủ,Other,Sadness
cuộc_đời bạn đáng_giá bao_nhiêu tiền,Other,Enjoyment
crush đéo bị_thịt nhé : d nó cũng ế vãi vì tội chảnh chóa,Anger,Disgust
hôm_qua tao xem xong ngất_xỉu tới giờ mới tĩnh chúng_mày ạ 😌 😌 😌,Sadness,Enjoyment
per hèn gì thấy ngày nào anh cũng đi tập 😂 😂 😂,Other,Enjoyment
sợ vãi,Fear,Enjoyment
"chửi vậy cũng bình_thường mà mọi người cứ làm quá . mẹ tao cũng suốt ngày chửi tao , tao thấy vui mà .",Enjoyment,Disgust
"thương quá . giờ con đi học ở lại cả ngày thì hên xui thôi chứ biết làm_sao , không ăn thịt heo thì ăn gì . mong sao có lệnh tạm dừng ăn thịt heo trong thời_gian này cho các trường mầm_non thì hay biết_mấy .",Sadness,Disgust
phải biết thiên_thời địa_lợi nhân hòa 😐 😐,Other,Enjoyment
"ngày_xưa toàn ăn cơm với nước_mắt , ngày trước giận bố lắm , nhưng giờ mới cảm_ơn bố vì như thế mới có mình ngày_nay",Enjoyment,Disgust
loài vật đang dần_dần có trí_khôn và hành_động như một con_người còn một_số người thì đang tiến_hóa ngược : v,Disgust,Sadness
"không nghe lời cha_mẹ , không ăn_học , giờ đi hốt rác . không có giá_trị trong xã_hội , bày_đặt chữi ai .",Disgust,Sadness
"kệ mẹ tao , tao thích nuôi chó thôi okeeee nó đéo bao_giờ kêu tao bướng",Anger,Disgust
thính hơn chó động 1 tí là kêu inh_ỏi điếc cả tai . đuổi thì đuổi dai 😒,Anger,Disgust
xin chúa thương_xót chúng_con,Other,Enjoyment
đọc thôi cũng mệt,Disgust,Other
tiên_sư bố nhà mày . tao chịu hết nổi rồi nhé 🤤,Anger,Disgust
"đọc bình_luận không thấy ai khen cute dễ_thương đáng yêu này_nọ nữa nhỉ : ) ) ) ) ) một ngày đẹp trời bạn ra ngõ đứng hít không_khí , con mèo sẽ kệ mẹ bạn , con chó vẫn sẽ đi đái bậy , nhưng con_một lằn này thì đéo , nó phi con_mẹ nó ra dí chạy như một con điên",Anger,Disgust
một đứa sợ sấm chớp không thích hình_ảnh này huhu,Fear,Other
"per giỏi phết đấy mỗi tội nghịch thôi , được cái làm từ_thiện nhiều .",Enjoyment,Sadness
chơi vậy ai chơi,Disgust,Enjoyment
ăn cút mẹ mày ra chỗ khác ăn nhé .,Anger,Enjoyment
cũng chỉ vì việt nam nuôi một lũ kỹ_sư . tiến_sĩ phá_hoại mới làm thiệt_hại kinh_tế nhiều vô_kể chúng_nó sài toàn bằng tại trức thì biết con_mẹ gì mà đưa cây cao_su ra bắc trồng khác gì đưa cây dừa ở trong nam ra bắc trồng . một lũ bò,Anger,Disgust
cũng đỡ tắc hơn 1 tí,Enjoyment,Disgust
hãy tôn_trọng quyền được mưu_cầu hạnh_phúc của mỗi cá_nhân con_người trên thế_giới này đi . đừng kì_thị họ ! tội_lỗi lắm 🙂,Other,Disgust
tao ho rụng hết tóc rồi 😭,Sadness,Disgust
per trailer không có tiếng thôi mà đã thấy ghê rồi đó !,Fear,Other
con nhà người_ta kbh làm bố_mẹ mình thất_vọng 😪,Other,Disgust
cả ngàn tin nhắn không đổi lại được 1 lần xem : ( (,Sadness,Other
điều tồi_tệ nhất_là kiểm_tra code trên giấy .,Sadness,Other
"xem cái con cặc gì , tắt đi",Anger,Other
dume mặc_dù tao rất yêu chó nhưng tao cũng sợ chó nữa : ( (,Fear,Sadness
"thằng tàu_hoả lái dở , thấy xe đậu thì đánh lái né ra đường_ray thi đâu có va_chạm hư ô_tô",Disgust,Other
ờ công_nhận đáng sợ vãi 😭,Fear,Enjoyment
không biết người của họ hay sao mà bắt heo 2 ngày trúng 2 cái ipx,Other,Sadness
đm tao biết trước cả sự_việc kiểu lìn gì cũng có nhện nhảy lên màn_hình . vì mấy năm trước cũng có 1 thể_loại giống như_vậy . đm hú nhồn,Fear,Disgust
"con sâu làm rầu nồi canh , tuyệt_đối không có chuyện ... .",Disgust,Sadness
cần lắm những sẻ chia . cần lắm những thấu_hiểu,Sadness,Enjoyment
ngày tao chia_tay tao khóc quá trời luôn,Sadness,Enjoyment
per bài của anh luôn nè,Other,Disgust
thằng này cục_súc vãi,Disgust,Other
"quay quay cái lồn , thấy bị bắt_nạt thì ra nói một câu bảo_vệ người_ta , có_khi tối về lại có người nằm ôm . cứ cầm điện_thoại pin với chả không pin",Anger,Disgust
bà mẹ tháng cô_hồn nghèo_rớt mồng_tơi mà cứ chiếu_phim tiền đâu mà coi trời oi là troi,Anger,Disgust
thông_minh lắm,Enjoyment,Other
mong mai_sau cũng được như ông_bà,Enjoyment,Other
ờ tao tao thông_minh thiệt đã dừng lại đúng lúc,Enjoyment,Sadness
ngày_xưa mẹ tao dạy ở miền núi . năm tao học lớp 3 lần đầu_tiên lên trường với mẹ . đaumoa mấy con ngỗng mất_dạy rượt tao leo lên cây phượng cao chót_vót cả tiếng không dám xuống .,Fear,Disgust
tuy chưa viết hết nhưng tao người khác sẽ hiểu là viết cái gì,Enjoyment,Other
đơn_giản nha . . cơm này ngon hơn cơm điện nhiều . không tin thì cứ thử,Enjoyment,Sadness
"hồi lúc tao ăn lạp_xưởng mắc xương , nói mà cũng đéo ai tin . tao hiểu cảm_giác của mày lắm ?",Enjoyment,Disgust
"xem phim mà cứ nhìn cặp chân của ổng , chân gì mà dài thường thượt . chồi ôi 1m87",Enjoyment,Sadness
sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu,Fear,Disgust
đáng yêu_vậy,Enjoyment,Other
per thế_mà cháu tôi không biết chơi 😭 😭,Sadness,Other
tính ra con bé đó chuyên_nghiệp ấy chứ,Enjoyment,Other
cho con được thay ông bán vé đi 😔,Sadness,Other
"dume , phải con tao thì đéo bao_giờ chúng_mày có cơ_hội xin_lỗi luôn .",Anger,Disgust
tao mà ở đây là sợ rụng trứng luôn chứ đừng nói ăn,Fear,Sadness
hồi xưa làm fanpage được gạ kèo 7 triệu nhưng nhất_quyết không bán . cảm_thấy quyết_định đúng_đắn nhất trong đời,Enjoyment,Disgust
dự là sắp có án_mạng xảy ra 😂,Other,Enjoyment
bắt được rồi cho bọn này đi chết đi để chúng_nó sống rồi làm hại người khác,Disgust,Sadness
sao nó tìm được nhỉ 🤔,Surprise,Other
ngôn_ngữ gì ngộ_nghĩnh_vậy,Surprise,Enjoyment
kết_thúc phim bất_ngờ quá,Surprise,Enjoyment
trong 1 năm đó bố_mẹ ông cho ông 10 tỷ đố là tiêu vặt và 1 con lám bồ để đi giao hàng,Other,Disgust
tao sợ ăn xong nóng đêm gãi toét chân,Fear,Other
khi đang xây cầu mà bị rút bớt kinh_phí !,Other,Enjoyment
bài mà từng nghe khi tổn_thương lần đầu,Sadness,Other
thế_giới giờ đáng sợ quá rồi 😌 😌 tâm phải tịnh không là tiêu nha mấy ông 😢,Fear,Disgust
vậy vài bửa trời nắng mình không mang quần nằm dưới nắng cho nó nở ra : ) ),Other,Sadness
bộ cứ thân là ở với nhau đuợc à ? ? sai_lầm vãi,Disgust,Enjoyment
ừ thì là chuyện cổ_tích . cháu đang đi đường_thẳng gặp mấy chú thì phải rẽ ngang . 😢 😢,Sadness,Enjoyment
nó quan_tâm mày vì nó muốn mua_chuộc mày để tán con bạn thân của mày,Disgust,Sadness
có đứa nào vừa xem vừa sờ tai mình không ? sợ vãi : < < <,Fear,Sadness
đối_với thế_giới này bà lão chỉ là một ai đó . nhưng đối_với ông lão đó bà lão là cả thế_giới 😊,Enjoyment,Sadness
per hihi nhớ không,Enjoyment,Other
tao bướng nhưng mặt đéo đến_nỗi như con bé kia 🤣,Enjoyment,Disgust
về nhanh_thế,Surprise,Other
buồn cô lắm,Sadness,Other
": ) ) ) ) cuộc_sống mà . ngày_càng thấy bản_thân quá nhạt và "" duyên "" : v",Sadness,Enjoyment
per mày mà bị như thế này chắc mày phải nhảy ra ngoài vũ_trụ luôn nhỉ,Other,Sadness
xấu mà đáng yêuc quá,Enjoyment,Other
không hiểu sao nhìu người lại thả haha nhỉ ? ?,Surprise,Other
đánh cả bố lẫn mẹ nó cho nó chừa,Other,Enjoyment
con bé xinh thế ? ?,Enjoyment,Other
"vailon : ) ) học_sinh cơ , dume nó",Disgust,Enjoyment
yêu quá nè nè,Enjoyment,Disgust
dù thời_tiết nóng_bức ... nhưng ăn vải vẫn là ngon nhất,Enjoyment,Disgust
page rẻ rách đĩ mẹ tao bỏ theo_dõi súc_sinh cận bả xã_hội dcm 18 đời nhà mày : ),Anger,Disgust
😑 sao cái kết gì mà buồn_vậy,Sadness,Other
chọn thằng nào có tương_lai hơn . tức có bố_mẹ giàu hơn,Other,Sadness
"con yêu nghiệt , tỏ cái_vẻ đáng thương còn ăn_vạ = ) ) )",Disgust,Enjoyment
vâng ah nên em cũng sợ quá mà : - ),Fear,Enjoyment
"nhỏ thấy qua 1 lần , nó bị cột ngay trước cửa_nhà người_ta ở trong hẻm , mỗi lần đi ngang qua là nó lại định lao tới cà_khịa",Fear,Sadness
per biết không : ) ) ),Surprise,Enjoyment
"nói gì , em_trai tao cắt tóc xong là tao đè nó ra chụp hình . cảm_thấy nó cắt tóc xong là đứa nào chứ không phải em tao = ) ) ) ) )",Enjoyment,Sadness
tưởng mai đi họp phụ_huynh mới bị u_ám . ai_ngờ hôm_nay mới biết điểm anh 9 . 5 thôi đã u_ám rồi : ),Sadness,Disgust
dăm_ba cái nồi này sao nấu ngon bằng cơm điện nhà tao được . kaka,Enjoyment,Sadness
hãm lol nhưng thật lòng chứ còn hơn cứ tỏ ra trưởng_thành mà bên trong thì như đồ bỏ đi,Disgust,Sadness
"ước gì con về với mẹ ... . đợi mấy tháng rồi vẫn chưa thấy bóng_dáng con , mong con vẫn sống ...",Sadness,Disgust
per mắc dại quá mà,Disgust,Other
"phim này quá hay . xem đi xem_lại mãi không chán . đặt tay lên ngực "" mọi chuyện đều ổn "" câu nói kinh_điển",Enjoyment,Sadness
nó hiền thôi chứ nó hung lại đấm cho không trượt phát lào . 🤣,Other,Sadness
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng_cáo ấy ( ý_kiến cá_nhân ) 😔,Disgust,Sadness
per vẫn là con mẻ . nay hàng_họ to quá ; ) ) ) ),Surprise,Enjoyment
thằng nào dám đưa 9 / 10 số tiền nó có trong tay,Other,Sadness
con nhà mất_dạy,Disgust,Other
hạnh_phúc ghê,Enjoyment,Other
có cái ảnh tỉ năm trước cứ đăng đăng con cặc . đéo thấy nhàm à . nghĩ thôi thấy bất_hạnh vãi .,Anger,Disgust
nhìn thương quá ... lao_động nghiêm_túc,Enjoyment,Other
bắt được rồi cho bọn này đi chết đi để chúng_nó sốn rồi làm hại người khác,Anger,Sadness
tuyển ngay về làm nghiên_cứu_viên cao_cấp cho các hãng khóa : d,Enjoyment,Sadness
"tôi xin nhắc lại , đây là một câu_chuyện buồn",Sadness,Other
per ê xem đi phim này lâu rồi nhưng mà hay lắm,Enjoyment,Sadness
còn mềnh thì ra quán mua bim bim đều chỉ để nhì em mà cười,Enjoyment,Other
cấm đỗ là việc của công_an,Other,Enjoyment
bó_tay luôn á,Sadness,Enjoyment
thằng điên,Disgust,Enjoyment
ly_hôn kiểu này thì không cần tới bước cuối_cùng . chỉ cần tới bước tính xem trả lại tiền mừng là tao bỏ ngay ý_định ly_hôn luôn rồi ... kkkk,Enjoyment,Disgust
"anh sau đó , không còn là anh nữa ...",Sadness,Other
bình_luận gì ông này diễn trò ngày nào đi qua khoảng hơn bốn giờ chiều là gặp,Disgust,Sadness
đừng bao_giờ chơi trò giận_dỗi với lũ con_gái : ) ),Other,Enjoyment
"kỳ nghỉ_hè muộn của anh mà , xõa hết đi anh .",Enjoyment,Sadness
nhạc ghét không hay mấy admin ạ,Disgust,Other
nhìn quả mặt nó làm tao thoả_mãn vãi,Enjoyment,Disgust
bây thấy nó vô_lý vãi lol không ?,Disgust,Other
tối nay chồng tương_lai sẽ đưa con khác đi chơi 😆 😆 😆,Sadness,Enjoyment
ewww mình chẳng giữ được gì huhu,Sadness,Other
nhìn mặt bé mèo khó_ở ghê - _ -,Disgust,Enjoyment
mày xinh thế ? tao ốm tí đã xấu hoắc,Sadness,Other
chờ thằng kia lật mặt mãi không thấy,Other,Disgust
"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha",Enjoyment,Disgust
ám_ảnh đến bây_giờ 24 tuổi vẫn sợ ngỗng : ) ) ),Fear,Enjoyment
per ý_nghĩa giống phim không ? ? ?,Surprise,Other
ko nghe lời vợ mới là mấu_chốt : ),Other,Enjoyment
"tao cảnh_cáo , page mà đăng mấy video_kiểu ngôn lù thế này tao unlike , trả per trả cụ lầy , trả anh thai cho tao",Anger,Disgust
chuột nhìn thấy said : bố lại sợ mày quá cơ = ) ) ),Other,Enjoyment
"nó gieo cho tao mầm hi_vọng , hi_vọng vừa chớm nở nó đạp xẹp_lép sự hi_vọng bằg sự lặng_im",Sadness,Disgust
"chị ấy cười với tao kìa chúng_mày , hạnh_phúc ghê_😊",Enjoyment,Disgust
thế_hóa ra nguy_cơ trầm_cảm của tao cao lắm,Sadness,Other
cho nghỉ viêc mói đúng sao goi là kỷ_luật,Surprise,Other
dm con già mà hành xử trâu chó . đời nó sẽ gặp báo_ứng,Anger,Sadness
gặp tao thì tao khinh,Disgust,Sadness
"hắt_xì mệt quá , muốn bắn , muốn làm_việc : (",Sadness,Enjoyment
nói như việt_nam . nhưng hơi láo cá chắc thầy của ônc cũng như ông,Disgust,Sadness
ủa rồi ra nắm xe_tải kéo ra như kéo xe đồ_chơi dị ba,Other,Sadness
chuột mà làm như người vậy . . ít hôm nó gặm cả rắn cả dây thì thấy mẹ . .,Fear,Sadness
per là ai thế nhỉ cụ : ) ),Other,Enjoyment
chắc sổ_đỏ có cả vỉa_hè và đường : ) ),Other,Sadness
tận_cùng của tan_vỡ,Sadness,Other
mấy cái video của bọn này đóng hay vãi,Surprise,Enjoyment
hóa chó nhiều quá thì cũng có lúc phải hóa thành người chứ = ) ) ) ),Other,Enjoyment
câu_chuyện thật cục_súc : ),Disgust,Other
đéo mang não ... tay lại nhanh hơn não rồi . .,Disgust,Sadness
gà này cho chó ăn mà . bọn mất dậy vì tiền nó giết chết dần chết mòn con nhà nghèo . địt bố bọn mắt dậy,Anger,Disgust
"thao_trường đổ mồ_hôi để chiến_trường đỡ đổ_máu , ý_thức từ bé đi 🙂",Other,Enjoyment
đi chơi còn bỏ quên cả não ấy,Disgust,Other
đã trải qua và thấy chuẩn cơm má nấu,Enjoyment,Other
nhìn kinh vãi,Disgust,Enjoyment
đốt cháy túi_tiền thì ở nhà cho rồi . xem chi không biết,Anger,Sadness
thanh_niên leo lên cao để theo_dõi thời_tiết để thông_báo cho người dân đi cấy thật cảm_động,Enjoyment,Sadness
mày ăn cái gì mà khôn vaiz_thế,Surprise,Enjoyment
phải bồi_thường thiệt_hại bị trầy_xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other,Disgust
bà nuốt quả chuối tao cười tao ẻ,Enjoyment,Other
rơi mất tim . nguy_hiểm_thiệt ^ ^,Fear,Enjoyment
nhân_quả đến sớm lắm . đăng lên làm gì : ) ) ),Other,Enjoyment
per nhớ quá trời nhớ luôn nè,Other,Enjoyment
cuộc_sống mà mấy ai được trọn_vẹn 😢 😢,Sadness,Enjoyment
"như mình mà trèo lên là bị phóng_điện luôn bạn nhỉ , mình cũng không hiểu được sao bọn nó không bị",Surprise,Sadness
bác_sĩ mất_dạy,Anger,Other
thằng ben thật tội_nghiệp,Sadness,Enjoyment
"nhìn này thần_sắc thế kia thì đeo sao đâu , yên_tâm đi không được hốc hôm_nay thì hôm sau hốc lo cái đéo gì chứ",Other,Disgust
"per nghe rv thấy cũng hay nè , liên_quan đến bùa ngải các kiểu có vẻ hấp_dẫn : v",Enjoyment,Sadness
trông tội quá,Sadness,Enjoyment
đúng là tốt quá lai thành lạm_dụng 😶,Sadness,Enjoyment
per mốt đừg có thiết_kế hay xây mấy cái kiểu như dị nhé hem > <,Other,Enjoyment
khổ_thân các cháu,Sadness,Disgust
bố là số 1 vĩ_đại hơn những gì con cần,Enjoyment,Other
k cần chuyển cũng sắp đi rồi admin ạ,Other,Sadness
kiểu xem đứa nào thắng !,Other,Enjoyment
khi nào tao thấy thích . mà thích rồi chưa có người thích cùng .,Sadness,Other
buồn dễ sợ mà huhu,Sadness,Other
vừa đi về ? ? mưa sấp_mặt,Disgust,Sadness
nói tới thì lại dỗi bỏ được mấy đồng ra rồi bày ra như chuồng lợn í thức đéo khác gì con lợn .,Anger,Sadness
nói_chuyện như người_yêu ? ?,Enjoyment,Other
mày ăn cứt hay sao ngu thế hả,Anger,Disgust
nếu địa_phương không xây cầu thì người dân cũng có_thể tự làm cầu cây mà . phóng lỡ hụt chân thì xác_định nát người .,Fear,Disgust
bố_mẹ là những người_yêu ta vô điều_kiện ...,Other,Enjoyment
